CampaignID,CampaignName,CampaignType,TargetAudience,Budget,Status,StartDate,EndDate,MediaChannels,CampaignObjective,RegionScope,ProductFocus,Brand,ROI_Target,Engagement_Target,Impression_Target
"8001,Share a Coke,Personalization,Young Adults (18-25),5000000.00,Active,2024-05-01,2024-12-31,""Social Media, TV, OOH, Digital"",""Increase brand personalization and engagement"",Global,All Products,Coca-Cola,120,3.5,500000000"
"8002,Open Happiness,Brand Awareness,General Public,8000000.00,Completed,2023-01-01,2023-12-31,""TV, Cinema, Digital, Print"",""Boost overall brand sentiment and awareness"",Global,Colas,Coca-Cola,110,2.8,800000000"
"8003,Taste the Feeling,Product Launch,Millennials (25-40),6500000.00,Active,2024-03-15,2024-11-30,""Digital, Social Media, Influencer"",""Launch new product variants and flavors"",Global,All Products,Coca-Cola,125,4.2,650000000"
"8004,Summer Refresh,Seasonal Promotion,Families,3500000.00,Active,2024-06-01,2024-08-31,""TV, Radio, Point-of-Sale, Digital"",""Increase summer sales volume"",Northern Hemisphere,Soft Drinks,Coca-Cola,115,3.2,350000000"
"8005,Zero Sugar Launch,New Product Launch,Health Conscious,4500000.00,Planning,2024-09-01,2024-12-31,""Digital, Social Media, Health Magazines"",""Drive adoption of zero-sugar products"",Global,Zero Sugar Products,Coca-Cola,130,3.8,450000000"
"8006,Real Magic,Brand Positioning,Young Adults (16-24),4200000.00,Active,2024-04-01,2024-10-31,""Social Media, Gaming Platforms, Music Festivals"",""Connect with Gen Z through digital experiences"",Global,All Products,Coca-Cola,118,4.5,420000000"
"8007,Sprite Limelight,Limited Edition,Teens & Young Adults,2800000.00,Active,2024-07-01,2024-09-30,""Social Media, Influencer, Music Events"",""Launch limited edition Sprite flavors"",Global,Sprite,Sprite,122,4.8,280000000"
"8008,Fanta Playground,Interactive Campaign,Families with Kids,3200000.00,Active,2024-06-15,2024-08-31,""Digital, Theme Parks, Family Events"",""Increase family consumption during summer"",Europe & Asia,Fanta,Fanta,116,3.9,320000000"
"8009,Smartwater Hydration,Wellness Campaign,Health & Fitness Enthusiasts,3800000.00,Active,2024-01-01,2024-12-31,""Fitness Apps, Wellness Blogs, Yoga Studios"",""Position as premium hydration choice"",Global,Smartwater,Smartwater,128,3.1,380000000"
"8010,Minute Maid Morning Boost,Daypart Marketing,Busy Professionals,2900000.00,Active,2024-02-01,2024-11-30,""Morning TV, Commuter Radio, Office Delivery"",""Establish as breakfast/energy solution"",North America,Minute Maid,Minute Maid,119,2.9,290000000"
"8011,POWERADE Fuel Up,Sports Sponsorship,Athletes & Sports Fans,5200000.00,Active,2024-03-01,2024-12-31,""Sports Events, Stadium Sponsorship, Team Partnerships"",""Own the sports hydration category"",Global,POWERADE,POWERADE,135,3.4,520000000"
"8012,Dasani Pure Life,Sustainability Campaign,Eco-Conscious Consumers,3100000.00,Active,2024-04-22,2024-11-15,""Environmental Media, Sustainability Events"",""Highlight recycling and sustainability efforts"",Global,Dasani,Dasani,121,2.7,310000000"
"8013,Costa Coffee Break,Moment Marketing,Office Workers & Students,2700000.00,Active,2024-01-15,2024-10-31,""Office Buildings, Universities, Commuter Hubs"",""Capture afternoon break occasion"",Europe & Asia,Costa Coffee,Costa,124,3.3,270000000"
"8014,Monster Unleashed,Energy Lifestyle,Gamers & Extreme Sports,4800000.00,Active,2024-03-01,2024-12-31,""Gaming Platforms, Extreme Sports Events, Music Festivals"",""Build energy drink lifestyle brand"",Global,Monster,Monster,140,4.9,480000000"
